windows,cost_bps,mse,mae,directional_accuracy,mean_return,sharpe,final_equity
"[5, 20]",0.0,9.684626668870256e-05,0.007816828326501926,0.5195195195195195,0.0001970381890700178,0.02570553930349657,1.1181249695852757
"[5, 20]",5.0,9.684626668870256e-05,0.007816828326501926,0.5195195195195195,8.968083171266034e-05,0.011722589639240631,1.0410564031834626
"[5, 20]",10.0,9.684626668870256e-05,0.007816828326501926,0.5195195195195195,-1.767652564469711e-05,-0.0023134386627625394,0.9692653213787062
"[10, 20]",0.0,9.681728685811347e-05,0.007822502891728138,0.5180180180180181,0.00021191743291969098,0.026078796094561457,1.126528339713638
"[10, 20]",5.0,9.681728685811347e-05,0.007822502891728138,0.5180180180180181,5.951503051728845e-05,0.0073224085996211954,1.0177962112303631
"[10, 20]",10.0,9.681728685811347e-05,0.007822502891728138,0.5180180180180181,-9.288737188511405e-05,-0.011416753505675682,0.9195121774251238
"[10, 50]",0.0,9.690856432774017e-05,0.007820519570927624,0.527027027027027,0.00015526801510228497,0.020233301157598794,1.0873978898769607
"[10, 50]",5.0,9.690856432774017e-05,0.007820519570927624,0.527027027027027,-5.392645558375818e-06,-0.0007025482710099791,0.9770482754276089
"[10, 50]",10.0,9.690856432774017e-05,0.007820519570927624,0.527027027027027,-0.0001660533062190366,-0.02160777943030338,0.8778499903849181
"[20, 50]",0.0,9.694472615449226e-05,0.007832422120961828,0.5,-0.00012569779863927868,-0.016104442022561092,0.9012032507943568
"[20, 50]",5.0,9.694472615449226e-05,0.007832422120961828,0.5,-0.0003163884893299696,-0.04047639130891293,0.7936449289787381
"[20, 50]",10.0,9.694472615449226e-05,0.007832422120961828,0.5,-0.0005070791800206604,-0.0647148924308276,0.6988791876250696
